Title,Description,Link
Alexander's kusimanse,"html.skin-theme-clientpref-night .mw-parser-output .infobox.biota tr{background:transparent!important}html.skin-theme-clientpref-night .mw-parser-output .infobox.biota img{background:white}@media(prefers-color-scheme:dark){html.skin-theme-clientpref-os .mw-parser-output .infobox.biota tr{background:transparent!important}html.skin-theme-clientpref-os .mw-parser-output .infobox.biota img{background:white}}
",https://en.wikipedia.org/wiki/Alexander%27s_kusimanse
Sable,"html.skin-theme-clientpref-night .mw-parser-output .infobox.biota tr{background:transparent!important}html.skin-theme-clientpref-night .mw-parser-output .infobox.biota img{background:white}@media(prefers-color-scheme:dark){html.skin-theme-clientpref-os .mw-parser-output .infobox.biota tr{background:transparent!important}html.skin-theme-clientpref-os .mw-parser-output .infobox.biota img{background:white}}
",https://en.wikipedia.org/wiki/Sable
Gastropoda,"html.skin-theme-clientpref-night .mw-parser-output .infobox.biota tr{background:transparent!important}html.skin-theme-clientpref-night .mw-parser-output .infobox.biota img{background:white}@media(prefers-color-scheme:dark){html.skin-theme-clientpref-os .mw-parser-output .infobox.biota tr{background:transparent!important}html.skin-theme-clientpref-os .mw-parser-output .infobox.biota img{background:white}}
",https://en.wikipedia.org/wiki/Gastropod
Reproductive system of gastropods,"The reproductive system of gastropods (slugs and snails) varies greatly from one group to another within this very large and diverse taxonomic class of animals. Their reproductive strategies also vary greatly.
",https://en.wikipedia.org/wiki/Reproductive_system_of_gastropods
Opisthobranchia,"
html.skin-theme-clientpref-night .mw-parser-output .infobox.biota tr{background:transparent!important}html.skin-theme-clientpref-night .mw-parser-output .infobox.biota img{background:white}@media(prefers-color-scheme:dark){html.skin-theme-clientpref-os .mw-parser-output .infobox.biota tr{background:transparent!important}html.skin-theme-clientpref-os .mw-parser-output .infobox.biota img{background:white}}
",https://en.wikipedia.org/wiki/Opisthobranchia
ISBN,"
",https://en.wikipedia.org/wiki/ISBN_(identifier)
ISO/IEC 27000,"ISO/IEC 27000 is one of the ISO/IEC technical standards in the ISO/IEC 27000 series of Information Security Management Systems (ISMS)-related standards. The formal title for ISO/IEC 27000 is Information technology — Security techniques — Information security management systems — Overview and vocabulary.
",https://en.wikipedia.org/wiki/ISO/IEC_27000
Prolog,"Prolog is a logic programming language that has its origins in artificial intelligence, automated theorem proving and computational linguistics.[1][2][3]
",https://en.wikipedia.org/wiki/Prolog
Han Xin code,"Han Xin code (汉信码 in Chinese, Chinese-sensible code) is two-dimensional (2D) matrix barcode symbology invented in 2007[1] by Chinese company The Article Numbering Center of China[2] (中国物品编码中心 in Chinese) to break monopoly of QR code. As QR code, Han Xin code consists of black squares and white square spaces arranged in a square grid on a white background. It has four finder patterns and other markers which allow to recognize it with camera-based readers. Han Xin code contains Reed–Solomon error correction with ability to read corrupted images. At this time, it is issued as ISO/IEC 20830:2021.[3]
",https://en.wikipedia.org/wiki/Han_Xin_code
135 film,"135 film, more popularly referred to as 35 mm film or 35 mm, is a format of photographic film with a film gauge of 35 mm (1.4 in) loaded into a standardized type of magazine (also referred to as a cassette or cartridge) for use in 135 film cameras.
",https://en.wikipedia.org/wiki/135_film
"File:Nikon F SLR camera with NIKKOR-S Auto 1,4 f=5,8cm.JPG","Original file ‎(3,217 × 2,130 pixels, file size: 1.11 MB, MIME type: image/jpeg)
","https://en.wikipedia.org/wiki/File:Nikon_F_SLR_camera_with_NIKKOR-S_Auto_1,4_f%3D5,8cm.JPG"
Resolution (logic),"In mathematical logic and automated theorem proving, resolution is a rule of inference leading to a refutation-complete theorem-proving technique for sentences in propositional logic and first-order logic. For propositional logic, systematically applying the resolution rule acts as a decision procedure for formula unsatisfiability, solving the (complement of the) Boolean satisfiability problem. For first-order logic, resolution can be used as the basis for a semi-algorithm for the unsatisfiability problem of first-order logic, providing a more practical method than one following from Gödel's completeness theorem.
",https://en.wikipedia.org/wiki/Resolution_(logic)
ISBN,"
",https://en.wikipedia.org/wiki/ISBN_(identifier)
ISO 1629,"ISO 1629, Rubber and latices – Nomenclature is an ISO standard that helps in classification and designation of basic or crude rubber in both dry and latex forms under a series of symbols or signs, based on the chemical composition of the polymer chain. This standardization becomes useful across industry and commerce thereby avoiding conflict in existing trademarks and names.
",https://en.wikipedia.org/wiki/ISO_1629
ISO 2047,"ISO 2047 (Information processing – Graphical representations for the control characters of the 7-bit coded character set) is a standard for graphical representation of the control characters for debugging purposes, such as may be found in the character generator of a computer terminal; it also establishes a two-letter abbreviation of each control character.[1] The graphics and two-letter codes are essentially unchanged from the 1968 European standard ECMA-17[2] and the 1973 American standard ANSI X3.32-1973.[3] It became an ISO standard in 1975.[1] It is also standardized as GB/T 3911-1983 in China, as KS X 1010[4] in Korea (formerly KS C 5713), and was enacted in Japan as ""graphical representation of information exchange capabilities for character"" JIS X 0209:1976 (former JIS C 6227) (abolished January 20, 2010).
",https://en.wikipedia.org/wiki/ISO_2047
ISO 19092-1,"ISO 19092-1 Financial Services - Biometrics - Part 1: Security framework, is an ISO standard and describes the adequate information management security controls and the proper procedures for using biometrics as an authentication mechanism for secure remote electronic access or local physical access controls for the financial and other critical infrastructure industries.[1]
",https://en.wikipedia.org/wiki/ISO_19092-1
ISO 3103,"ISO 3103 is a standard published by the International Organization for Standardization (commonly referred to as ISO), specifying a standardized method for brewing tea, possibly sampled by the standardized methods described in ISO 1839.[1] It was originally laid down in 1980 as BS 6008:1980 by the British Standards Institution,[2] and a revision was published in December, 2019 as ISO/NP 3103.[3] It was produced by ISO Technical Committee 34 (Food products), Sub-Committee 8 (Tea).
",https://en.wikipedia.org/wiki/ISO_3103
Sukiya-zukuri,"Sukiya-zukuri (数寄屋造り) is one type of Japanese residential architectural style. Suki (ateji: 数寄 or 数奇) means refined, well cultivated taste and delight in elegant pursuits,[1] and refers to enjoyment of the exquisitely performed tea ceremony.
",https://en.wikipedia.org/wiki/Sukiya-zukuri
Karahafu,"Kara-hafu (唐破風) is a type of curved gable found in Japanese architecture. It is used on Japanese castles, Buddhist temples, and Shinto shrines. Roofing materials such as tile and bark may be used as coverings. The face beneath the gable may be flush with the wall below, or it may terminate on a lower roof.
",https://en.wikipedia.org/wiki/Karahafu
Sōrin,"The sōrin (相輪, lit. alternate rings) is the vertical shaft (finial) which tops a Japanese pagoda, whether made of stone or wood.[1][note 1] The sōrin of a wooden pagoda is usually made of bronze and can be over 10 meters tall.[2] That of a stone pagoda is also of stone and less than a meter long. The sōrin is divided in several sections possessing a symbolic meaning and, as a whole, in turn itself represents a pagoda.[3]
",https://en.wikipedia.org/wiki/S%C5%8Drin
Nagare-zukuri,"The nagare-zukuri (流造, streamlined roof style) or nagare hafu-zukuri (流破風造, streamlined gabled style) is a traditional Shinto shrine architectural style characterized by a very asymmetrical gabled roof (kirizuma-yane (切妻屋根)) projecting outwards on one of the non-gabled sides, above the main entrance, to form a portico (see photo).[1]  This is the feature which gives it its name. It is the most common style among shrines all over the country. That the building has its main entrance on the side which runs parallel to the roof's ridge (non gabled-side) makes it belong to the hirairi or hirairi-zukuri (平入・平入造) style.
",https://en.wikipedia.org/wiki/Nagare-zukuri
Kura (storehouse),"Kura (倉 or 蔵) are traditional Japanese storehouses. They are commonly durable buildings built from timber, stone or clay used to safely store valuable commodities.
",https://en.wikipedia.org/wiki/Kura_(storehouse)
"Shirakawa, Gifu (village)","Shirakawa (白川村, Shirakawa-mura) is a village located in Ōno District, Gifu Prefecture, Japan. It is best known for being the site of Shirakawa-gō, a small, traditional village showcasing a building style known as gasshō-zukuri. Together with Gokayama in Nanto, Toyama, it is one of UNESCO's World Heritage Sites.
","https://en.wikipedia.org/wiki/Shirakawa,_Gifu_(village)"
UNESCO,"The United Nations Educational, Scientific and Cultural Organization (UNESCO)[a] is a specialized agency of the United Nations (UN) with the aim of promoting world peace and security through international cooperation in education, arts, sciences and culture.[2][3] It has 194 member states and 12 associate members,[4] as well as partners in the non-governmental, intergovernmental and private sector.[5] Headquartered in Paris, France, UNESCO has 53 regional field offices[6] and 199 national commissions.[7][8]
",https://en.wikipedia.org/wiki/UNESCO
Organisation of the League of Nations,"The League of Nations was established with three main constitutional organs: the Assembly; the Council; the Permanent Secretariat. The two essential wings of the League were the Permanent Court of International Justice and the International Labour Organization.
",https://en.wikipedia.org/wiki/Organisation_of_the_League_of_Nations
2016 United Nations General Assembly presidential election," Mogens Lykketoft
Social Democrats
",https://en.wikipedia.org/wiki/2016_United_Nations_General_Assembly_presidential_election
United Nations Honour Flag,"The United Nations Honour Flag (also termed the United Nations Flag, the Honour Flag, or the Four Freedoms Flag, with alternate spelling ""Honor"" also used) was a flag symbolizing the Allies of World War II and their goal of world peace.  It was designed in October 1942 by Brooks Harding (who was inspired by Franklin D. Roosevelt's Four Freedoms speech of January 1941), and it had some degree of use as a flag from 13 June 1943 to c. 1948 to represent the ""United Nations"" in the sense of the January 1942 Declaration by United Nations. However, it was never an official flag of the United Nations as an organization (which was founded in 1945, and adopted a different flag of the United Nations in 1946).
",https://en.wikipedia.org/wiki/United_Nations_Honour_Flag
Enlargement of the United Nations,"As of 29 April 2024, there are 193 member states in the United Nations (UN), each of which is a member of the United Nations General Assembly.[1]
",https://en.wikipedia.org/wiki/Enlargement_of_the_United_Nations#1940s
List of territories governed by the United Nations,"This is a list of territories which are directly administered, or once were, by the United Nations (UN). These are not to be confused with UN trust territories, which were run by a single country under a UN mandate.
",https://en.wikipedia.org/wiki/List_of_territories_governed_by_the_United_Nations
United Nations peacekeeping,"Peacekeeping by the United Nations is a role of the UN's Department of Peace Operations as an ""instrument developed by the organization as a way to help countries torn by conflict to create the conditions for lasting peace"".[2] It is distinguished from peacebuilding, peacemaking, and peace enforcement although the United Nations does acknowledge that all activities are ""mutually reinforcing"" and that overlap between them is frequent in practice.[3]
",https://en.wikipedia.org/wiki/United_Nations_peacekeeping
Universal Declaration of Human Rights,"The Universal Declaration of Human Rights (UDHR) is an international document adopted by the United Nations General Assembly that enshrines the rights and freedoms of all human beings. Drafted by a UN committee chaired by Eleanor Roosevelt, it was accepted by the General Assembly as Resolution 217 during its third session on 10 December 1948 at the Palais de Chaillot in Paris, France.[1] Of the 58 members of the United Nations at the time, 48 voted in favour, none against, eight abstained, and two did not vote.[2]
",https://en.wikipedia.org/wiki/Universal_Declaration_of_Human_Rights
United Nations Department for Safety and Security,"The Department of Safety and Security (UNDSS) is a department of the United Nations providing safety and security services for UN agencies and departments as part of the UN Safety Management System. UNDSS reports directly to the Secretary-General. The UNDSS manages a network of security advisers, analysts, officers and coordinators in more than 125 countries[1] in support of around
180,000 United Nations personnel, 400,000 dependents, and 4,500 United Nations premises worldwide. The department is led by Under-Secretary-General Gilles Michaud from Canada.[2]
",https://en.wikipedia.org/wiki/United_Nations_Department_for_Safety_and_Security
Under-Secretary-General of the United Nations,"An under-secretary-general of the United Nations (USG) is a senior official within the United Nations System, normally appointed by the General Assembly on the recommendation of the secretary-general for a renewable term of four years. Under-secretary-general is the third highest rank in the United Nations, after the secretary-general and the deputy secretary-general. The rank is held by the heads of different UN entities, certain high officials of the United Nations Secretariat, and high-level envoys. The United Nations regards the rank as equal to that of a cabinet minister of a member state, and under-secretaries-general have diplomatic immunity under the UN Charter.
",https://en.wikipedia.org/wiki/Under-Secretary-General_of_the_United_Nations
Rola Dashti,"Rola Abdulla Dashti (Arabic: رولا عبدالله علي حاجيه دشتي, born 1964[1]) is a Kuwaiti economist and business executive and former politician and minister. Dashti lobbied for the May 2005 decree permitting Kuwaiti women to run for parliamentary elections for the first time and was one of the first female MPs elected to the Kuwaiti parliament. She subsequently served as minister of state planning and development affairs and State Assembly affairs.
",https://en.wikipedia.org/wiki/Rola_Dashti
Category:21st-century women politicians,"This category is for 21st-century women politicians.
",https://en.wikipedia.org/wiki/Category:21st-century_women_politicians
Viviane Biviga,"Viviane Biviga is a Gabonese politician. She is the current National Secretary of Communications and Technology under the ruling Gabonese Democratic Party (Parti démocratique gabonais) (PDG).[1]
",https://en.wikipedia.org/wiki/Viviane_Biviga
Wikipedia:Stub,"A stub is an article deemed too short and incomplete to provide encyclopedic coverage of a subject. This page provides a general guide for dealing with stubs: the first section, Basic information, contains information that is recommended for most users; and the second section, Creating stub types, contains more specialized material. Existing stub categories can be found at Wikipedia:WikiProject Stub sorting/Stub types.
",https://en.wikipedia.org/wiki/Wikipedia:Stub
Template:Morocco-stub,This Morocco-related article is a stub. You can help Wikipedia by expanding it.,https://en.wikipedia.org/wiki/Template:Morocco-stub
Template:Expand section,"This template may be used at the beginning of article sections that need expansion.
",https://en.wikipedia.org/wiki/Template:Expand_section
Category:Templates using TemplateData,"This category has only the following subcategory.
",https://en.wikipedia.org/wiki/Category:Templates_using_TemplateData
COVID-19 pandemic in Michigan,"The first confirmed cases of COVID-19 in the U.S. state of Michigan were discovered on March 10, 2020, one day before the outbreak of the disease was officially declared a global pandemic by the World Health Organization.[1] As of December 20, 2022, 2,977,727 cases have been identified, causing 40,657 deaths.[2]
",https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Michigan
Indian government response to the COVID-19 pandemic,"The first responses of the government of India to the COVID-19 pandemic in the country involved thermal screenings of passengers arriving from China, the country from which the coronavirus disease 2019 originated, as well as of passengers arriving from other countries. As the pandemic spread worldwide, the Indian government recommended social distancing measures and also initiated travel and entry restrictions. Throughout March 2020, several shutdowns and business closures were initiated, and by the end of the month, the Indian government ordered a widespread lockdown. An economic package was announced in May 2020.
",https://en.wikipedia.org/wiki/Indian_government_response_to_the_COVID-19_pandemic
COVID-19,"Coronavirus disease 2019 (COVID-19) is a contagious disease caused by the coronavirus SARS-CoV-2. The first known case was identified in Wuhan, China, in December 2019.[7] The disease quickly spread worldwide, resulting in the COVID-19 pandemic.
",https://en.wikipedia.org/wiki/COVID-19
COVID-19 pandemic,"The COVID-19 pandemic, also known as the coronavirus pandemic, is a global pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The novel virus was first identified in an outbreak in Wuhan, the capital of Hubei, China, in December 2019, before it spread to other areas of Asia, and then worldwide in early 2020. The World Health Organization (WHO) declared the outbreak a public health emergency of international concern (PHEIC) on 30 January 2020, and assessed the outbreak had become a pandemic on 11 March 2020.[3] The WHO ended the PHEIC on 5 May 2023.[4] As of 29 April 2024, the pandemic has caused 7,045,569[5] confirmed deaths, making it the fifth-deadliest pandemic or epidemic in history.
",https://en.wikipedia.org/wiki/COVID-19_pandemic
History of the COVID-19 pandemic in the United Kingdom,"
This article outlines the history of the COVID-19 pandemic in the United Kingdom (granular timelines can be found here). Though later reporting indicated that there may have been some cases dating from late 2019,[1][2] COVID-19 was confirmed to be spreading in the UK by the end of January 2020.[3] The country was initially relatively slow implementing restrictions but a legally enforced stay-at-home order had been introduced by late March.[4][5][6] Restrictions were steadily eased across the UK in late spring and early summer that year.[7][8][9][10][11][12]
",https://en.wikipedia.org/wiki/History_of_the_COVID-19_pandemic_in_the_United_Kingdom
COVID-19 pandemic in India,"
",https://en.wikipedia.org/wiki/COVID-19_pandemic_in_India
ISSN,"An International Standard Serial Number (ISSN) is an eight-digit serial number used to uniquely identify a serial publication (periodical), such as a magazine.[1] The ISSN is especially helpful in distinguishing between serials with the same title. ISSNs are used in ordering, cataloging, interlibrary loans, and other practices in connection with serial literature.[2]
",https://en.wikipedia.org/wiki/ISSN_(identifier)
Pascal (programming language),"Pascal is an imperative and procedural programming language, designed by Niklaus Wirth as a small, efficient language intended to encourage good programming practices using structured programming and data structuring. It is named after French mathematician, philosopher and physicist Blaise Pascal.
",https://en.wikipedia.org/wiki/Pascal_(programming_language)#ISO/IEC_10206:1990_Extended_Pascal
Document Style Semantics and Specification Language,"The Document Style Semantics and Specification Language (DSSSL) is an international standard developed to provide stylesheets for SGML documents.[1]
",https://en.wikipedia.org/wiki/Document_Style_Semantics_and_Specification_Language
S-expression,"In computer programming, an S-expression (or symbolic expression, abbreviated as sexpr or sexp) is an expression in a like-named notation for nested list (tree-structured) data. S-expressions were invented for and popularized by the programming language Lisp, which uses them for source code as well as data.
",https://en.wikipedia.org/wiki/S-expression
Louis Hodes,"Louis Hodes (June 19, 1934 – June 30, 2008) was an American mathematician, computer scientist, and cancer researcher.[1]
",https://en.wikipedia.org/wiki/Louis_Hodes
Macintosh Common Lisp,"Macintosh Common Lisp (MCL)  is an implementation and IDE for the Common Lisp programming language.  Various versions of MCL run under the classic Mac OS (m68k and PPC) and Mac OS X.[1]
",https://en.wikipedia.org/wiki/Macintosh_Common_Lisp
Dr. Dobb's Journal,"Dr. Dobb's Journal[1] (often shortened to Dr. Dobb's or DDJ) was a monthly magazine published in the United States by UBM Technology Group, part of UBM. It covered topics aimed at computer programmers. When launched in 1976, DDJ was the first regular periodical focused on microcomputer software, rather than hardware. In its last years of publication, it was distributed as a PDF monthly, although the principal delivery of Dr. Dobb's content was through the magazine's website. Publication ceased at the end 
of 2014,[2] with the archived website continuing to be available online.
",https://en.wikipedia.org/wiki/Dr._Dobb%27s_Journal
Software,"Software is a collection of programs and data that tell a computer how to perform specific tasks. Software often includes associated software documentation.[1] This is in contrast to hardware, from which the system is built and which actually performs the work.
",https://en.wikipedia.org/wiki/Software
GameAgent,"GameAgent was an online store, digital distribution platform, and information hub for macOS games. The platform is owned by Aspyr, while the e-commerce portion was handled by Digital River.[1]
",https://en.wikipedia.org/wiki/GameAgent
Digital River,"Digital River is a private company[4] that provides global e-commerce, payments and marketing services. In 2013, Digital River processed more than $30 billion in online transactions.[citation needed] Digital River is headquartered in Minnetonka, Minnesota.[citation needed]
",https://en.wikipedia.org/wiki/Digital_River
File:Digital River logo.svg,"Original file ‎(SVG file, nominally 201 × 35 pixels, file size: 5 KB)
",https://en.wikipedia.org/wiki/File:Digital_River_logo.svg
Digital River,"Digital River is a private company[4] that provides global e-commerce, payments and marketing services. In 2013, Digital River processed more than $30 billion in online transactions.[citation needed] Digital River is headquartered in Minnetonka, Minnesota.[citation needed]
",https://en.wikipedia.org/wiki/Digital_River
Category:Multinational companies headquartered in the United States,"This category has the following 50 subcategories, out of 50 total.
",https://en.wikipedia.org/wiki/Category:Multinational_companies_headquartered_in_the_United_States
Category:Capelli Sport,"The following 4 pages are in this category, out of  4 total. This list may not reflect recent changes.
",https://en.wikipedia.org/wiki/Category:Capelli_Sport
Category:Manufacturing companies based in New York City,"This category has the following 12 subcategories, out of 12 total.
",https://en.wikipedia.org/wiki/Category:Manufacturing_companies_based_in_New_York_City
Tiffany & Co.,"Tiffany &amp; Co. (colloquially known as Tiffany's)[4] is an American luxury jewelry and specialty design house headquartered on Fifth Avenue in Manhattan.[5][6] Tiffany is known for its luxury goods, particularly its sterling silver and diamond jewelry.[7] These goods are sold at Tiffany stores, online, and through corporate merchandising. Its name and branding are licensed to Coty for fragrances[8] and to Luxottica for eyewear.[9]
",https://en.wikipedia.org/wiki/Tiffany_%26_Co.
Tsavorite,"Tsavorite or tsavolite is a variety of the garnet group species grossular, a calcium-aluminium garnet with the formula Ca3Al2Si3O12.[2] Trace amounts of vanadium or chromium provide the green color.
",https://en.wikipedia.org/wiki/Tsavorite
Quartzite,"Quartzite is a hard, non-foliated metamorphic rock which was originally pure quartz sandstone.[1][2] Sandstone is converted into quartzite through heating and pressure usually related to tectonic compression within orogenic belts. Pure quartzite is usually white to grey, though quartzites often occur in various shades of pink and red due to varying amounts of hematite. Other colors, such as yellow, green, blue  and orange, are due to other minerals.
",https://en.wikipedia.org/wiki/Quartzite
Ignimbrite,"Ignimbrite is a type of volcanic rock, consisting of hardened tuff.[1] Ignimbrites form from the deposits of pyroclastic flows, which are a hot suspension of particles and gases flowing rapidly from a volcano, driven by being denser than the surrounding atmosphere. New Zealand geologist Patrick Marshall (1869–1950) coined the term ignimbrite from the Latin igni- [fire] and imbri- [rain].
",https://en.wikipedia.org/wiki/Ignimbrite
Pyroxenite,"Pyroxenite is an ultramafic igneous rock consisting essentially of minerals of the pyroxene group, such as augite, diopside, hypersthene, bronzite or enstatite. Pyroxenites are classified into clinopyroxenites, orthopyroxenites, and the websterites which contain both types of pyroxenes (see diagram below). Closely allied to this group are the hornblendites, consisting essentially of hornblende and other amphiboles.
",https://en.wikipedia.org/wiki/Pyroxenite
Subvolcanic rock,"A subvolcanic rock, also known as a hypabyssal rock, is an intrusive igneous rock that is emplaced at depths less than 2 km (1.2 mi) within the crust, and has intermediate grain size and often porphyritic texture between that of volcanic rocks, which are extrusive igneous rocks, and plutonic rocks, which form much deeper in the ground.[1] Subvolcanic rocks include diabase (also known as dolerite) and porphyry. Common examples of subvolcanic rocks are diabase, quartz dolerite, microgranite, and diorite.[2][3]
",https://en.wikipedia.org/wiki/Subvolcanic_rock
Intrusive rock,"Intrusive rock is formed when magma penetrates existing rock, crystallizes, and solidifies underground to form intrusions, such as batholiths, dikes, sills, laccoliths, and volcanic necks.[1][2][3]
",https://en.wikipedia.org/wiki/Plutonic_rock
Batholith,"A batholith (from Ancient Greek  bathos 'depth', and  lithos 'rock') is a large mass of intrusive igneous rock (also called plutonic rock), larger than 100 km2 (40 sq mi) in area,[1] that forms from cooled magma deep in Earth's crust. Batholiths are almost always made mostly of felsic or intermediate rock types, such as granite, quartz monzonite, or diorite (see also granite dome).
",https://en.wikipedia.org/wiki/Batholith
Igneous rock,"Igneous rock (igneous from Latin  igneus 'fiery'), or magmatic rock, is one of the three main rock types, the others being sedimentary and metamorphic. Igneous rocks are formed through the cooling and solidification of magma or lava.
",https://en.wikipedia.org/wiki/Igneous_rock
Sedimentary rock,"Sedimentary rocks are types of rock that are formed by the accumulation or deposition of mineral or organic particles at Earth's surface, followed by cementation. Sedimentation is the collective name for processes that cause these particles to settle in place. The particles that form a sedimentary rock are called sediment, and may be composed of geological detritus (minerals) or biological detritus (organic matter). The geological detritus originated from weathering and erosion of existing rocks, or from the solidification of molten lava blobs erupted by volcanoes. The geological detritus is transported to the place of deposition by water, wind, ice or mass movement, which are called agents of denudation. Biological detritus was formed by bodies and parts (mainly shells) of dead aquatic organisms, as well as their fecal mass, suspended in water and slowly piling up on the floor of water bodies (marine snow). Sedimentation may also occur as dissolved minerals precipitate from water solution.
",https://en.wikipedia.org/wiki/Sedimentary_rock
Varve,"A varve is an annual layer of sediment or sedimentary rock.
",https://en.wikipedia.org/wiki/Varve
Sovite,"Sovite (or sövite) is the coarse-grained variety (or facies) of carbonatite, an intrusive, igneous rock. The fine-grained variety of carbonatite is known as alvikite.[1] The two varieties are distinguished by minor and trace element compositions.[2] Sovite is often a medium-to-coarse-grained calcite rock with variable accessory amphibole, biotite, pyrite, pyrochlore and fluorite.[3]
",https://en.wikipedia.org/wiki/Sovite
Biotite,"Biotite is a common group of phyllosilicate minerals within the mica group, with the approximate chemical formula K(Mg,Fe)3AlSi3O10(F,OH)2. It is primarily a solid-solution series between the iron-endmember annite,  and the magnesium-endmember phlogopite; more aluminous end-members include siderophyllite and eastonite. Biotite was regarded as a mineral species by the International Mineralogical Association until 1998, when its status was changed to a mineral group.[5][6] The term biotite is still used to describe unanalysed dark micas in the field. Biotite was named by J.F.L. Hausmann in 1847 in honor of the French physicist Jean-Baptiste Biot, who performed early research into the many optical properties of mica.[7]
",https://en.wikipedia.org/wiki/Biotite
Mineral,"In geology and mineralogy, a mineral or mineral species is, broadly speaking, a solid substance with a fairly well-defined chemical composition and a specific crystal structure that occurs naturally in pure form.[1][2]
",https://en.wikipedia.org/wiki/Mineral
Peak coal,"Peak coal is the peak consumption or production of coal by a human community. 
Peak coal can be driven by peak demand or peak supply. Historically, it was widely believed that the supply-side would eventually drive peak coal due to the depletion of coal reserves. However, since the increasing global efforts to limit climate change, peak coal has been driven by demand.[1] This is due in large part to the rapid expansion of natural gas and renewable energy.[1] As of 2024  over 40% of all energy sector CO2 emissions are from coal, and many countries have pledged to phase-out coal.[2]
",https://en.wikipedia.org/wiki/Peak_coal
Greenhouse gas emissions,"Greenhouse gas (GHG) emissions from human activities intensify the greenhouse effect. This contributes to climate change. Carbon dioxide (CO2), from burning fossil fuels such as coal, oil, and natural gas, is one of the most important factors in causing climate change. The largest emitters are China followed by the United States. The United States has higher emissions per capita. The main producers fueling the emissions globally are large oil and gas companies. Emissions from human activities have increased atmospheric carbon dioxide by about 50% over pre-industrial levels. The growing levels of emissions have varied, but have been consistent among all greenhouse gases. Emissions in the 2010s averaged 56 billion tons a year, higher than any decade before.[2] Total cumulative emissions from 1870 to 2017 were 425±20 GtC (1558 GtCO2) from fossil fuels and industry, and 180±60 GtC (660 GtCO2) from land use change. Land-use change, such as deforestation, caused about 31% of cumulative emissions over 1870–2017, coal 32%, oil 25%, and gas 10%.[3]
",https://en.wikipedia.org/wiki/Greenhouse_gas_emissions
Ozone depletion,"Ozone depletion consists of two related events observed since the late 1970s: a steady lowering of about four percent in the total amount of ozone in Earth's atmosphere, and a much larger springtime decrease in stratospheric ozone (the ozone layer) around Earth's polar regions.[1] The latter phenomenon is referred to as the ozone hole. There are also springtime polar tropospheric ozone depletion events in addition to these stratospheric events.
",https://en.wikipedia.org/wiki/Ozone_depletion
Peak gas,"Peak gas is the point in time when the maximum global natural gas (fossil gas) production rate will be reached, after which the rate of production will enter its terminal decline.[1]  Although demand is peaking in the United States[2] and Europe,[3] it continues to rise globally due to consumers in Asia,[4] especially China.[5][6] Natural gas is a fossil fuel formed from plant matter over the course of millions of years.  Natural gas derived from fossil fuels is a non-renewable energy source; however, methane can be renewable in other forms such as biogas. Peak coal was in 2013, and peak oil is forecast to occur before peak gas.[7] One forecast is for natural gas demand to peak in 2035.[8]
",https://en.wikipedia.org/wiki/Peak_gas
File:Gas Balance United Kingdom.svg,"Original file ‎(SVG file, nominally 1,170 × 630 pixels, file size: 82 KB)
",https://en.wikipedia.org/wiki/File:Gas_Balance_United_Kingdom.svg
Carbon dioxide in Earth's atmosphere,"In Earth's atmosphere, carbon dioxide is a trace gas that plays an integral part in the greenhouse effect, carbon cycle, photosynthesis and oceanic carbon cycle. It is one of several greenhouse gases in the atmosphere of Earth. The current global average concentration of carbon dioxide (CO2) in the atmosphere is 421 ppm as of May 2022 (0.04%).[1] This is an increase of 50% since the start of the Industrial Revolution, up from 280 ppm during the 10,000 years prior to the mid-18th century.[2][1][3]  The increase is due to human activity.[4] Burning fossil fuels is the main cause of these increased CO2 concentrations and also the main cause of climate change.[5] Other large sources of CO2 from human activities include cement production, deforestation, and biomass burning.
",https://en.wikipedia.org/wiki/Carbon_dioxide_in_Earth%27s_atmosphere
Category:Articles with unsourced statements from September 2023,"This category combines all articles with unsourced statements from September 2023 (2023-09) to enable us to work through the backlog more systematically. It is a member of Category:Articles with unsourced statements.
To add an article to this category add     {{Citation needed|date=September 2023}} to the article. If you omit the date a bot will add it for you at some point.
",https://en.wikipedia.org/wiki/Category:Articles_with_unsourced_statements_from_September_2023
Category:Articles with unsourced statements from February 2023,"This category combines all articles with unsourced statements from February 2023 (2023-02) to enable us to work through the backlog more systematically. It is a member of Category:Articles with unsourced statements.
To add an article to this category add     {{Citation needed|date=February 2023}} to the article. If you omit the date a bot will add it for you at some point.
",https://en.wikipedia.org/wiki/Category:Articles_with_unsourced_statements_from_February_2023
2021 in reptile paleontology,"This list of fossil reptiles described in 2021 is a list of new taxa of fossil reptiles that were described during the year 2021, as well as other significant discoveries and events related to reptile paleontology that occurred in 2021.
",https://en.wikipedia.org/wiki/2021_in_reptile_paleontology
Bibcode,"The bibcode (also known as the refcode) is a compact identifier used by several astronomical data systems to uniquely specify literature references.
",https://en.wikipedia.org/wiki/Bibcode_(identifier)
Bibcode,"The bibcode (also known as the refcode) is a compact identifier used by several astronomical data systems to uniquely specify literature references.
",https://en.wikipedia.org/wiki/Bibcode_(identifier)
